"officer_badge_number","officer_name"
"10678","Diana Liendo"
"7882","Jason Carter"
"9108","Michael Moncrief"
"8291","Soubin Suvannachakkham"
"9945","Michael Phasounnabane"
"7129","Edward Calhoun"
"10508","Michael Christian"
"8762","Charles Tomlinson"
"10774","Matthew Small"
"9314","Jason Correa"
"10325","James Condis"
"6178","Reginald Jackson"
"7761","Stephen Swafford"
"6596","Jon Jacob"
"9594","Derrick Jackson"
"7897","Michael Royal"
"9168","Kirk Benners"
"7359","Mark Sanchez"
"10861","David Price"
"10329","Christian Jackson"
"9122","Alan Caperton"
"10311","Salvatore Orlando"
"9054","Jonathan Wilson"
"9325","Casey Tharp"
"9522","Hector Puente Jr."
"4920","James Harris"
"9823","Aaron Tobkin"
"10372","Eric Fountain"
"9181","Chad Kazmierczak"
"10824","Richard Council"
"10524","Katie Davis"
"10006","Raciel Hernandez"
"5886","Scot Jenkins"
"8384","Jacquelyn Williams"
"10568","Jonathan Alexander"
"5284","Jesus Martinez"
"9260","Alejandro Tovar"
"9860","Samuel Varner"
"10705","Stephanie Leal"
"10799","Jovanny Garcia"
"10667","Timothy Ross"
"6214","Raymond Dethloff"
"10234","Dwayne Jones"
"5818","Lance Crawford"
"8770","Brandon Innes"
"10810","Isaiah Jones"
"5998","Paul Demaagd"
"7199","Constance Padgett"
"9134","Adam Stucki"
"10696","Thomas Macpherson"
"4375","Ernest Reyes"
"6005","Brian Verdine"
"9944","Christopher Perez"
"9737","Chad Kraft"
"9440","Edgar Morales"
"10190","Jacob Perez"
"7711","Everard Wortham"
"10333","Gabriele Pina"
"8897","Dustin Shields"
"6146","Rene Dominguez"
"10781","Christopher Hill"
"5572","Tommy Buggs"
"10493","Jelisa Reed"
"10483","Timothy Paxton"
"8994","Ronald Cronin"
"10425","Hanna Velazquez"
"10740","Tu Nguyen"
"6547","Michael Williams"
"10432","Christina Hernandez"
"5785","Rickey Upshaw"
"9558","Steven Miller"
"10736","Sean Woolridge"
